.pl 16959
CisloVydejky;DatumVydeje;CisloOdberatele;NazevOdberatele;Celkem0;Celkem5;Celkem23;Zisk;NahradniPlneni;Prebirajici;Upozorneni;Obsluha;CisloObjednavkyD;CisloFaktury;KodSumFa;Vybrane;Rozvoz;FormaUhrady
00253$;737822$;07131$;HOKAMI CZ, s.r.o.$;0$;0$;3807$;1162$;N$;HoleËkov·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;710/210112$;00000$;dr$;0$;R$; 
00254$;737822$;02117$;OSAPO, s.r.o.$;0$;0$;281$;35$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210186$;00000$; $;0$; $; 
00255$;737822$;03891$;Krajsk· nemocnice Liberec   1011$;0$;0$;132$;33$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$; $;00000$;nem$;0$;R$; 
00256$;737822$;03898$;Krajsk· nemocnice Liberec   1215$;0$;0$;730$;203$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00257$;737822$;05450$;Krajsk· nemocnice Liberec   1223$;0$;0$;288$;84$;N$; $; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00258$;737822$;03900$;Krajsk· nemocnice Liberec   1341$;0$;0$;135$;45$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00259$;737822$;03904$;Krajsk· nemocnice Liberec   2113$;0$;0$;1764$;520$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00260$;737822$;03923$;Krajsk· nemocnice Liberec   2362P7A$;0$;0$;850$;190$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00261$;737822$;03905$;Krajsk· nemocnice Liberec   2129$;0$;0$;2553$;799$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00262$;737822$;03925$;Krajsk· nemocnice Liberec   2412$;0$;0$;785$;96$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00263$;737822$;03893$;Krajsk· nemocnice Liberec   2132$;0$;0$;655$;214$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00264$;737822$;03926$;Krajsk· nemocnice Liberec   2422$;0$;0$;1692$;558$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00265$;737822$;03890$;Krajsk· nemocnice Liberec   2141HDS$;0$;0$;272$;87$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00266$;737822$;03929$;Krajsk· nemocnice Liberec   2432$;0$;0$;2188$;545$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00267$;737822$;03907$;Krajsk· nemocnice Liberec   2151$;0$;0$;709$;162$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00268$;737822$;03928$;Krajsk· nemocnice Liberec   2443$;0$;0$;608$;179$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00269$;737822$;03931$;Krajsk· nemocnice Liberec   2454$;0$;0$;205$;61$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00270$;737822$;02122$;Krajsk· nemocnice Liberec 2152 TURN$;0$;0$;40$;10$;N$;Hanuöov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00271$;737822$;03932$;Krajsk· nemocnice Liberec   2511PIO$;0$;0$;1354$;381$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00272$;737822$;03908$;Krajsk· nemocnice Liberec   2162$;0$;0$;19$;6$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00273$;737822$;03933$;Krajsk· nemocnice Liberec   2511RTG$;0$;0$;503$;162$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00274$;737822$;03935$;Krajsk· nemocnice Liberec   2542$;0$;0$;573$;183$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00275$;737822$;03937$;Krajsk· nemocnice Liberec   2612$;0$;0$;452$;132$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00276$;737822$;03939$;Krajsk· nemocnice Liberec   2633$;0$;0$;244$;71$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00277$;737822$;03940$;Krajsk· nemocnice Liberec   2636$;0$;0$;803$;257$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00278$;737822$;03909$;Krajsk· nemocnice Liberec   2172$;0$;0$;22375$;6761$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00279$;737822$;03910$;Krajsk· nemocnice Liberec   2182$;0$;0$;1374$;451$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00280$;737822$;03941$;Krajsk· nemocnice Liberec   2642$;0$;0$;4899$;1116$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00281$;737822$;03911$;Krajsk· nemocnice Liberec   2211$;0$;0$;777$;247$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00282$;737822$;03942$;Krajsk· nemocnice Liberec   2711$;0$;0$;113$;31$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00283$;737822$;03912$;Krajsk· nemocnice Liberec   2222$;0$;0$;273$;110$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00284$;737822$;03943$;Krajsk· nemocnice Liberec   2721$;0$;0$;2068$;589$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00285$;737822$;03892$;Krajsk· nemocnice Liberec   2231$;0$;0$;1297$;316$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00286$;737822$;03913$;Krajsk· nemocnice Liberec   2233$;0$;0$;175$;67$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00287$;737822$;03945$;Krajsk· nemocnice Liberec   2733$;0$;0$;501$;152$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00288$;737822$;03946$;Krajsk· nemocnice Liberec   2741$;0$;0$;1269$;363$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00289$;737822$;03914$;Krajsk· nemocnice Liberec   2242$;0$;0$;893$;301$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00290$;737822$;03895$;Krajsk· nemocnice Liberec   2251$;0$;0$;558$;147$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00291$;737822$;03947$;Krajsk· nemocnice Liberec   2751$;0$;0$;171$;38$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00292$;737822$;03948$;Krajsk· nemocnice Liberec   2761$;0$;0$;189$;56$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00293$;737822$;05466$;Krajsk· nemocnice Liberec   2781$;0$;0$;77$;22$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00294$;737822$;03915$;Krajsk· nemocnice Liberec   2262$;0$;0$;2352$;618$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00295$;737822$;03949$;Krajsk· nemocnice Liberec   2811$;0$;0$;3269$;924$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00296$;737822$;05449$;Krajsk· nemocnice Liberec   2822$;0$;0$;18$;5$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00297$;737822$;03916$;Krajsk· nemocnice Liberec   2271$;0$;0$;4444$;1199$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00298$;737822$;03917$;Krajsk· nemocnice Liberec   2272$;0$;0$;36$;8$;N$;Mejsnarov·$;VLASTNÕ ODVOZ$;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00299$;737822$;03918$;Krajsk· nemocnice Liberec   2274$;0$;0$;101$;27$;N$;Mejsnarov·$;VLASTNÕ ODVOZ$;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00300$;737822$;03930$;Krajsk· nemocnice Liberec   2275$;0$;0$;172$;46$;N$;Mejsnarov·$;VLASTNÕ ODVOZ$;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00301$;737822$;05447$;Krajsk· nemocnice Liberec 3091 TURN$;0$;0$;25$;7$;N$;Hanuöov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00302$;737822$;03924$;Krajsk· nemocnice Liberec   2276$;0$;0$;1089$;360$;N$;Mejsnarov·$;VLASTNÕ ODVOZ$;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00303$;737822$;05446$;Krajsk· nemocnice Liberec 3112 TURN$;0$;0$;442$;122$;N$;Hanuöov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00304$;737822$;05464$;Krajsk· nemocnice Liberec 3214 TURN$;0$;0$;260$;54$;N$;Hanuöov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$; $; 
00305$;737822$;05443$;Krajsk· nemocnice Liberec 3262 TURN$;0$;0$;750$;288$;N$;Hanuöov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00306$;737822$;03919$;Krajsk· nemocnice Liberec   2312$;0$;0$;2017$;605$;N$;Mejsnarov·$;VLASTNÕ ODVOZ$;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00307$;737822$;05454$;Krajsk· nemocnice Liberec 3271 TURN$;0$;0$;1039$;278$;N$;Hanuöov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00308$;737822$;05444$;Krajsk· nemocnice Liberec 3342 TURN$;0$;0$;48$;15$;N$;Hanuöov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00309$;737822$;03921$;Krajsk· nemocnice Liberec   2342$;0$;0$;688$;200$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00310$;737822$;03922$;Krajsk· nemocnice Liberec   2351$;0$;0$;190$;58$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00311$;737822$;05453$;Krajsk· nemocnice Liberec 3412 TURN$;0$;0$;434$;160$;N$;Hanuöov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00312$;737822$;03758$;Krajsk· nemocnice Liberec   2352$;0$;0$;1268$;279$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00000$;nem$;0$; $; 
00313$;737822$;05460$;Krajsk· nemocnice Liberec 3811 TURN$;0$;0$;387$;128$;N$;Hanuöov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00314$;737822$;10597$;Krajsk· nemocnice Liberec  4211 FR›$;0$;0$;25$;7$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00315$;737822$;07812$;Krajsk· nemocnice Liberec  4212 FR›$;0$;0$;415$;157$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00316$;737822$;04147$;Krajsk· nemocnice Liberec  4271 FR›$;0$;0$;216$;67$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00317$;737822$;08096$;Krajsk· nemocnice Liberec  4812 FR›$;0$;0$;384$;87$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00318$;737822$;03951$;Krajsk· nemocnice Liberec   6021$;0$;0$;146$;43$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00319$;737822$;03958$;Krajsk· nemocnice Liberec   8211$;0$;0$;50$;15$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00320$;737822$;03959$;Krajsk· nemocnice Liberec   8221$;0$;0$;69$;17$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00321$;737822$;03964$;Krajsk· nemocnice Liberec   8414$;0$;0$;3377$;1006$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00322$;737822$;09421$;Krajsk· nemocnice Liberec   8424$;0$;0$;7790$;2448$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00323$;737822$;05455$;Krajsk· nemocnice Liberec 8712 TURN$;0$;0$;479$;113$;N$;Hanuöov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00324$;737822$;10571$;Krajsk· nemocnice Liberec   2841$;0$;0$;302$;85$;N$;Mejsnarov·$;ROZVOZ$;HvÏzdov· ä·rka$; $;00000$;nem$;0$;R$; 
00325$;737822$;00247$;MÏsto Hr·dek nad Nisou$;0$;0$;2484$;1084$;N$;Krousk·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;tel.$;00000$;dr$;0$;R$; 
00326$;737823$;05680$;D.I.SEVEN, a.s.$;0$;0$;2558$;545$;N$;Volprechtov·$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;os$;00000$;dse$;0$; $; 
00327$;737823$;07131$;HOKAMI CZ, s.r.o.$;0$;0$;199$;61$;N$;HoleËkov·$;ROZVOZ + DODACÕ LIST$;Labaj Martin$;710/210112$;00000$;dr$;0$;P$; 
00329$;737823$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;2332$;612$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ ve st¯edu r·no$;Chocholouökov· Ivana$;VOPTŸ-2021-000290$;00000$;DPL$;0$; $; 
00330$;737824$;07846$;D˘m senior˘ Liberec-Frantiökov,$;0$;0$;12222$;3238$;N$;Iveta Salansk·$;ROZVOZ + DODACÕ LIST$;HvÏzdov· ä·rka$;78606$;00000$;dr$;0$;R$; 
00331$;737824$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;1818$;440$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$; $;00000$;DPL$;0$; $; 
00332$;737824$;00372$;BMTO GROUP a.s.$;0$;0$;2314$;642$;N$;Buöek$;VLASTNÕ ODVOZ$;Labaj Martin$;tel$;00000$;dr$;0$; $; 
00333$;737824$;00261$;Ji¯Ì Burger - Fischer z·vod 5$;0$;0$;3494$;544$;N$;JelÌnkov·$;ROZVOZ + DODACÕ LIST pondÏlÌ 8.2. do 11:30$;Fialov· Jana$;78622$;00000$;BUR$;0$;R$; 
00334$;737824$;02117$;OSAPO, s.r.o.$;0$;0$;3850$;514$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210124$;00000$; $;0$; $; 
00335$;737824$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;8631$;3971$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;Fialov· Jana$;78629$;00000$; $;0$;R$; 
00336$;737824$;02920$;MIJA-PRACOVNÕ ODÃVY s.r.o.       MH$;0$;0$;4072$;654$;N$;MatÏjkov·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78632$;00000$;MIJ$;0$;R$; 
00338$;737825$;02117$;OSAPO, s.r.o.$;0$;0$;233725$;20518$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$; $;00000$; $;0$;P$; 
00339$;737825$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;2832$;1157$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78535$;00000$; $;0$;R$; 
00340$;737825$;02117$;OSAPO, s.r.o.$;0$;0$;7135$;1085$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210209$;00000$; $;0$; $; 
00341$;737825$;02117$;OSAPO, s.r.o.$;0$;0$;361$;45$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210213$;00000$; $;0$; $; 
00342$;737826$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;1489$;436$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78677$;00000$; $;0$;R$; 
00343$;737826$;05680$;D.I.SEVEN, a.s.$;0$;0$;763$;233$;N$;Volprechtov·$;VLASTNÕ ODVOZ$;Fialov· Jana$;WURTH$;00000$;dse$;0$;R$; 
00344$;737826$;08959$;Zä TGM a Mä Mlad· Boleslav$;0$;0$;2020$;630$;N$;Svobodov·$;ROZVOZ + DODACÕ LIST$;Fialov· Jana$;78686$;00000$;dr$;0$;R$; 
00345$;737826$;02970$;MIJA-PRACOVNÕ ODÃVY s.r.o.       MB$;0$;0$;4018$;714$;N$;Kauck·$;ROZVOZ + DODACÕ LIST$;Fialov· Jana$;78687$;00000$;MIJ$;0$;R$; 
00346$;737826$;02117$;OSAPO, s.r.o.$;0$;0$;339$;55$;N$;Abrh·m$;VLASTNÕ ODVOZ$;Fialov· Jana$;os.$;00000$; $;0$; $; 
00347$;737826$;08959$;Zä TGM a Mä Mlad· Boleslav$;0$;0$;1724$;454$;N$;Svobodov·$;ROZVOZ + DODACÕ LIST$;Fialov· Jana$;78689$;00000$;dr$;0$;R$; 
00348$;737826$;02117$;OSAPO, s.r.o.$;0$;0$;248400$;21600$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$; $;00000$; $;0$; $; 
00337$;737825$;09797$;VÏzeÚsk· sluûba »R Hradec Kr·lovÈ$;0$;0$;27795$;10391$;N$;Marcel Mach$;PÿEPRAVKA + PÿEVODEM$;HvÏzdov· ä·rka$; $;00000$; $;0$; $; 
00349$;737826$;02920$;MIJA-PRACOVNÕ ODÃVY s.r.o.       MH$;0$;0$;6308$;791$;N$;MatÏjkov·$;ROZVOZ + DODACÕ LIST$;HvÏzdov· ä·rka$;78699$;00000$;MIJ$;0$;R$; 
00350$;737829$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;2383$;634$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ //v ˙ter˝ r·no$;éateËkov· MarkÈta$;78732$;00000$;DPL$;0$; $; 
00351$;737829$;02117$;OSAPO, s.r.o.$;0$;0$;23380$;2652$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210209$;00000$; $;0$; $; 
00352$;737830$;05674$;D.I.SEVEN FACILITY s.r.o.$;0$;0$;2850$;559$;N$;Volprechtov·$;VLASTNÕ ODVOZ$;éateËkov· MarkÈta$;osobnÏ$;00000$;dfa$;0$; $; 
00353$;737830$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;1213$;397$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78753$;00000$; $;0$;R$; 
00354$;737831$;04200$;ESO ˙klid,spol.s.r.o.$;0$;0$;5241$;816$;N$;Koubovsk·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;78786$;00000$; $;0$;R$; 
00355$;737831$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;4085$;1309$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;78793$;00000$; $;0$;R$; 
00356$;737831$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;4159$;1433$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;78808$;00000$; $;0$;R$; 
