.pl 16959
CisloDodavatele;NazevDodavatele;NazevDodavatele2;Ulice;Mesto;Psc;Ico;Dic1;Dic2;Zastoupeny;ZastoupenyOZ;Telefon;TelefonOz;Mail;MailOZ;Poznamka1;Poznamka2;Poznamka3;Poznamka4;Poznamka5;DatumPorizeni;PocetDnuObj;ZavozDen
00553$;Loctite - zastoupenÌ$; $; $; $; $; $; $; $; $; $; $; $; $; $;dodava firma HPH éitavsk· ul. 048/5104109$;pasta pro benteler LOCTITE 7850 pasta na ruce 122.40$;rab +20%$; $; $;730717$;0$; 
00554$;KAHO-FM Liberec s.r.o.$; $;Obloukov· 135$;Str·û nad Nisou$;46303$;62739841$;CZ$;62739841$; $; $;048/5159353$; $; $; $; $; $; $; $; $;730718$;0$; 
00555$;PEMA VELKOOBCHOD - zkuöebnÌ$; $; $; $; $;48713301$;CZ$;48713301$; $; $; $; $;vedeni@velkoobchoddrogerie.cz$; $; $; $; $; $; $;730486$;0$; 
00556$;Proch·zkov· Hana$; $;VotoËkova 400/10$;Liberec 7$;46007$;48271152$; $; $; $; $; $; $; $; $; $; $; $; $; $;730731$;0$; 
00557$;Pavel Wenig$; $; $; $; $;49269917$; $; $; $; $; $; $; $; $; $; $; $; $; $;730738$;0$; 
00558$;Ivan Nemeö$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;730738$;0$; 
00559$;V·clav Noh˝nek VENOK$; $;Gener·la Piky 14$;Liberec 1$;46001$;11416556$; $; $; $; $; $; $; $; $; $; $; $; $; $;730746$;0$; 
00560$;Dagmar K¯ehlÌkov·$;tech.org.Ëinnost v PO$;N·rodnÌ 370$;Liberec$;46008$;63752841$;CZ$;5661056280$;Dagmar K¯ehlÌkov·$; $;048/5225126$; $; $; $; $; $; $; $; $;730746$;0$; 
00561$;Klimenta Stanislav$; $;Mrklov 122$;Jilemnice$;51401$;62016202$;CZ$;6211100797$; $; $;0432/582967$; $; $; $; $; $; $; $; $;730746$;0$; 
00562$;TELE2, s.r.o.$; $;Lond˝nsk· 8$;Praha 2$;12000$;25650009$;CZ$;25650009$; $; $;02/74012444$; $; $; $;e-mail> info@tele2.cz    www> www.tele2.cz$; $; $; $; $;730746$;0$; 
00563$;H.P. PROFI, s.r.o.$; $;BezruËova 19$;Znojmo$;66902$;47309407$;CZ$;47309407$;p. äkaroubov·,p.Miko$; $;0624/264434 i fax$; $; $; $; $; $; $; $; $;730749$;0$; 
00564$;Autodoprava Daniel Kapl$; $;Borov˝ Vrch 792$;Liberec$;46001$;42160588$;CZ$;6808160854$; $; $; $; $; $; $; $; $; $; $; $;730752$;0$; 
00565$;NAVIPOL CZ, s.r.o.$; $;Baltsk· 42$;Liberec 14$;46014$; $; $; $;Ing.BÈreöov· Hana$; $;tel./fax 2726268$; $; $; $; $;sÌdlo firmy - VrchlickÈho 338, Liberec 14, 460 14$; $; $; $;730761$;0$; 
00566$;Frantiöek Kopeck˝$; $;Liberijsk· 592$;Praha 6$;16000$;61273791$;CZ$;380102010$; $; $; $; $; $; $; $; $; $; $; $;730766$;0$; 
00567$;Duöan Zamboj$; $;LuËnÌ 238$;Neratovice-Lobkovice$;27711$;61124206$;cz$;6402026279$;Zamboj$; $;777 251 815$; $;dusan.zamboj@volny.cz$; $;OZ Duöan Zamboj 777/251815$;sleva cca 20% ze z·kladnÌch cen$; $; $; $;730774$;0$; 
00568$;ALL.COM$;Ing. Ji¯Ì ZÌka$;Cukrovarnick· 19$;Praha 6$;16200$;44800622$;CZ$;5904060085$;Ing. Ji¯Ì ZÌka$; $;02/33324003 i fax$; $; $; $;www.allsoft.cz$; $; $; $; $;730775$;0$; 
00569$;Oblast.pr˘m.podnik PoliËka,a.s$; $;Starohradsk· 396$;PoliËka$;57215$;45534594$;CZ$;45534594$; $; $;0461/521244$; $; $; $; $; $; $; $; $;730775$;0$; 
00570$;Brychta LubomÌr, Ing.$; $;Kostnick· 296$;Pardubice$;53006$;69853223$; $; $; $; $; $; $; $; $; $; $; $; $; $;730787$;0$; 
00571$;KuËera Pavel$; $;Prokopa HolÈho 1440$;»el·kovice$;25088$;40037304$;CZ$;7007111034$; $; $;0602/361988$; $; $; $; $; $; $; $; $;730790$;0$; 
00572$;Hornbach$; $; $; $; $; $;CZ$; $; $; $; $; $; $; $; $; $; $; $; $;730794$;0$; 
00573$;KOVO TOPI», a.s.$; $;K¯enovsk· 1374$;KojetÌn$;75201$;25825666$;CZ$;25825666$;p.Kysel·$; $;581 762 813$;581762124$;prikrylova@kovotopic.cz$; $;od 1.1.05 sleva 15%   od.1.1.2007 sleva 20%$;P¯ikrylov·   br·t n·sobky 5ks$;www.kovotopic.cz$;Min.odbÏr za rok 100000.-s DPH  jinak p¯Ìjdem o slevu!!!!!$;Min.odbÏr za rok 2007 200000.-kË  -\\-    -\\-$;730796$;0$; 
00574$;Dorda Milan$;Autocentrum DAMO$;Hl·vkova 601$;Liberec$;46012$;13915100$;CZ$;511211191$; $; $;048/5122747$; $; $; $; $; $; $; $; $;730796$;0$; 
00575$;Mirko Kraus$;ËistÌcÌ prost¯edky$;Krajov· 975$;Liberec 30$;46311$;12776165$;CZ$;5805246073$; $; $; $; $;gelatka@volny.cz$; $;134.- za 10kg$;Hadry -Gelatka 608 028 651     -BÌl˝ 13.9$;fax.485 143 523$; $; $;730796$;0$; 
00576$;Petr Halaöka$;Pro draft$;Masarykova 82$;⁄stÌ nad Labem$;40001$;54694623$;CZ$;6804090788$;p. Halaöka$; $;602/108118,$; $; $; $;manûelka 723/340896$;pouze za hotovÈ!!$;stromeËky 16.70KË$; $; $;730803$;0$; 
00577$;Pavel ZajÌc  A P Z$;Mont·ûnÌ pr·ce - Autodoprava$;R·delsk· 277$;Je¯manice$;46312$;13341693$;CZ$;7012142577$;ZajÌc Pavel$; $;tel.0603/231952$; $; $; $;tel./fax:485145787$; $; $; $; $;730804$;0$; 
00578$;BÌlÌ Tyg¯i Liberec, s.r.o.$; $;Jeron˝mova 494/20$;Liberec 7$;46007$;61327336$;CZ$;61327336$; $; $; $; $; $; $; $; $; $; $; $;730804$;0$; 
00579$;EDIS PRAHA, s.r.o.$; $;»imick· 53/809$;Praha 8$;18104$; $; $; $; $; $; $; $; $; $; $; $; $; $; $;730804$;0$; 
00580$;Ing.Ji¯Ì HYAN$; $;KvÏtno. revoluce 326$;Liberec 13$;46014$;46741682$; $; $;Ing.Ji¯Ì Hyan$; $; $; $; $; $; $; $; $; $; $;730808$;0$; 
00581$;»esk· pojiöùovna$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;730809$;0$; 
00582$;V¯Ìdlo, v˝robnÌ druûstvo$; $;KamenickÈho Ë. 8$;Karlovy Vary$;36004$;00028860$;CZ$;00028860$; $; $;017/3223223$; $;espace.perina@volny.cz$; $;0-14% ING.Petr Pe¯ina$;(PK Solvent 0-15% 2007)$; $; $; $;730819$;0$; 
00583$;Kladivo Ji¯Ì$; $; $; $; $; $; $; $;Cermanov·$; $;48/5110622$; $; $; $;0777/600016$; $;Frydlansk· 48/5110594$; $; $;730825$;0$; 
00584$;Bonhard Ji¯Ì, Phdr.$;StavebnÏ technickÈ poradenstvÌ$;B¯etislavova 307$;Liberec 13$;46012$;60241721$;CZ$;460612004$;Bonhard$; $;048/510 34 02$; $; $; $; $; $; $; $; $;730826$;0$; 
00585$;Dischem s.r.o.$; $; $;Liberec$; $; $; $; $; $; $; $; $;info@dischem.cz$; $; $; $; $; $; $;730829$;0$; 
00586$;FLEXOBAL s.r.o.$; $;Podbabsk· 1112/13$;Praha$;16000$; $; $; $;JÌrovec$; $;606 615 767$;724 278 812$;stepan.jirovec@flexobal.cz$; $; $; $; $; $; $;737763$;0$; 
00587$;SOHARO spol. s r.o.$; $;Haökova 942/20$;Liberec 6$;46006$;25407538$;CZ$;25407538$;Roman Poupa$; $;513 24 47$; $; $; $;0602/410842$; $; $; $; $;730833$;0$; 
00588$;IPB Pojiöùovna, a.s.$; $;Smilova 315$;Pardubice$;53002$;45534306$; $; $; $; $; $; $; $; $; $; $; $; $; $;730836$;0$; 
00589$;Jungwirth Stanislav$;JUKOV$;Sokolsk· 1173$;»erven˝ Kostelec$;54941$;13541099$;CZ$;510209019$;Junggwirth Stanislav$; $;0441/462531$; $; $; $;0441/462533 fax$; $; $; $; $;730838$;0$; 
00590$;Zempomarket a.s. BeËv·ry$; $; $;BeËv·ry$;28143$;42756383$;CZ$;42756383$; $; $;602 367 172$; $;jiri.urban@becvary.zempo.cz$; $;321 734 014 drogerie  321 734 042 Burdov·$;ûelez·¯stvÌ 321 734 005$; $; $;602 367 172 Urban / ceny, speciality$;730858$;7$;˙ter˝
00591$;JaromÌr Mach·Ëek / J.A.D.$; $;UniËovsk· 132$;Litovel$;78401$;11569247$;CZ$;5404061168$; $; $;585/341667,585341702$;585 341667$;jad@jad.cz$; $; $;vÏdra,öpachtle,hrabla,pasti n.myöi,obj.20.000vËetnÏ dopr.$; $; $; $;730860$;0$; 
00592$;Juraj Cop·k$; $;Masarykovo n·m.99$;Brand˝s nad Labem$;25001$;15838188$;CZ$;460520715$; $; $;326902121,777812121$;326 902 121$;copak@email.cz$; $;na rok 2005  Astrid 0-6.8% douwe-edgbers 0-6% Ab kosm 0-5%$;V¯Ìdlo 0-10% Nivea 0-11%$;Cop·k-777 830 699   Cop·k Michal 608 065 045$; $; $;730871$;0$; 
00593$;Igefa ⁄stÌ spol. s r. o.$; $;U Tomasa 2$;⁄stÌ nad Labem$;40331$;49101498$;CZ$;49101498$;ävarbach$; $;475 522 070$;475 522 073$; $; $;ecolab desinfekce15%  uklid.chemie-20%$;603 213 126$; $; $; $;730871$;0$; 
00594$;MEDIPLAST CZ, v˝robnÌ druûstvo$; $;Na V˝slunÌ 201/13$;Praha 10-Straönice$;10000$;27176240$;CZ$;27176240$; $; $;481543214,543087$;481543215$;obchod@mediplast.cz$; $;2016 zv˝öenÌ cen$; $;sleva 10%$; $;obj 2000, jinak uËtuji dopravu$;730873$;4$;dle pot¯eby
00595$;Tukov˝ pr˘mysl Praha, a.s.$;O.Z. TOPTRANS$;Vod·rensk· Stavimo$;Kralupy nad Vltavou$;27801$;25135881$;CZ$;25135881$; $; $;0205/741800$; $; $; $; $; $; $; $; $;730879$;0$; 
00596$;Radka s.r.o.$; $;Na Luûci 706$;L·znÏ BohdaneË$;53341$; $; $; $;p.Horn·$; $;466924913$;466 921988$; $; $;lewatit mp 64 178.50;lewatit sp 112 80.50 -ps·t ceny do$;466 924 912-Dr.Reil technik$; $; $; $;730879$;0$; 
00597$;Dvo¯·k Stanislav, Ing.$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;730888$;0$; 
00598$;ROSO velkoobchod$;SlavomÌr Hadraba$;RumiötÏ 3/5$;BRNO$;60200$;6211201$;CZ$;6510080324$;p.Jaskulka$; $;05/43211589$; $; $; $;zboûÌ do komise !!!$;OZ Jaskulka 0723/055766$; $; $; $;730894$;0$; 
00599$;K·va-Praha$; $;KorunnÌ 87$;Praha$;13000$;44299656$; $; $; $; $; $; $; $; $;Internetov˝ shop$; $; $; $; $;737826$;0$; 
00600$;EGE, spol. s r. o.$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;730895$;0$; 
00601$;Kunc Martin$;MK reklama$;Husova 59$;Liberec 1$;46001$;61557447$;CZ$;6711280884$;Martin Kunc$; $;5105112$; $; $; $; $; $; $; $; $;730895$;0$; 
00602$;MPD plus RakovnÌk$; $;N·b¯.Dr.Beneöe 2307$;RakovnÌk$;26901$;47549637$;Cz$;47549637$; $; $;313/512834$; $;info@simplyclean.cz$; $; $; $;Ralex sleva -5% navÌc$; $; $;730896$;0$; 
00603$;Dico Nord s.r.o.$; $;éitavsk· 50/56$;Liberec 11$;46011$; $; $; $;Nohynek V·clav$; $; $; $; $; $; $; $; $; $; $;730899$;0$; 
00604$;Hor·k Petr, Ing.$; $;TrûnÌ n·mÏstÌ 1093/4$;Liberec 1$;46001$; $; $; $; $; $; $; $; $; $; $; $; $; $; $;730902$;0$; 
00605$;RTR, spedice a zasilatelstvÌ$; $;ätef·nikova 13$;⁄stÌ nad Labem$;40001$;14868792$;CZ$;14868792$; $; $;482731668$; $; $; $; $; $; $; $; $;730906$;0$; 
00606$;Avesta Polarit, s.r.o.$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;730906$;0$; 
00607$;Danzas, a.s.$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;730906$;0$; 
00608$;Farben Kiroff Technik$; $; $; $; $; $;CZ$;25041690$; $; $; $; $; $; $;prijÌmat kurzem deviza prodej KB$;+ poplatek 198,-KË$; $; $; $;730913$;0$; 
00609$;Michal Duben$;Michael Caffe$; $;P¯epychy$;51732$; $;CZ$; $; $; $;731 484 914$; $;duben@michaelcaffe.cz$; $; $; $; $; $; $;737628$;0$; 
00610$;AUTO - COLOR s.r.o$; $;AmpÈrova 482$;Liberec 2$;46203$;18381201$;CZ$;18381201$; $; $;606/645998$;48 5152541$;spacek@a-c.cz$; $;tel 485 152 540 602 438 617 SpaËek$;Dohoda rabat 30%$; $;kdyby byl v˝padek...firma forch$; $;730914$;0$; 
00611$;Softmail, s.r.o.$; $;RoztylskÈ n·m. 35$;Praha 4$;14100$;49707612$;CZ$;49707612$; $; $; $; $; $; $; $; $; $; $; $;730915$;0$; 
00612$;DAMIRA CZ s.r.o.$; $;Tuchoraz 33$;»esk˝ Brod$;28201$;26506386$;CZ$;26506386$; $; $;321 697 346$;321 679 496$;kristina@damira.cz$; $;fax 321/679496$;pytle 60l vûdy obj.1000ks-cena$;OZ Novotn· 733 129 968$;jan@damira.cz$;733 129 968$;730915$;0$; 
00613$;Media Liberec s.r.o.$; $;Sladovnick· 1032$;Liberec 30$;46311$; $; $; $; $; $;482 751 579$;482 750 022$; $; $;olej pro KnÛrr$; $; $; $; $;730928$;0$; 
00614$;Liberty-Top-Tech s.r.o.$; $;Jankovcova 13$;Praha 7$;17000$;25626710$;CZ$;25626710$;ing. Petr Svoboda$; $;283 870 133-4 i fax$; $; $; $; $; $; $; $; $;730937$;0$; 
00615$;Josef Hruza PK Markon - Garanc$; $;Libkovodsk· 1428$;Pelh¯imov$;39301$;18308945$;CZ$;6102021871$;Josef Hruza$; $;565323207 i fax$; $; $; $; $; $; $; $; $;730942$;0$; 
00616$;Gr˘öov· Marcela, Ing.$; $;U pot˘Ëku 620$;Liberec 6$;46006$;43232639$; $; $; $; $; $; $; $; $; $; $; $; $; $;730944$;0$; 
00617$;Tesla Stropkov-»echy, a.s.$; $;Syrov·tka Ëp.140$;Dob¯enice$;50325$;48171018$;CZ$;48171018$; $; $; $; $; $; $; $; $; $; $; $;730951$;0$; 
00618$;äitÌ drobn˝ch v˝robku$;Stanislava älechtov·$;Lidick· 1006$;Mnich.HradiötÏ$;29501$;40920763$;CZ$;505418278$;Stanislava älechtov·$; $;0329/771356$; $; $; $; $; $;p.Mal˝ 603714508$; $; $;730956$;0$; 
00619$;Spektrum CZ a.s.    PRAHA$; $;U pek·ren 1$;Praha 10 - Hostiva¯$;10212$; $; $; $;OZ Mlejnek$; $;602/369659$;2/72704878$; $; $;m· mail roman.mlejnek@worldonline.cz$;fax 2/72704878   fakturace Lanökroun 467/523239,523122$;02/72703261-4        oz Ontex VybÌral 602438045$; Janktov· 602 758 648     602 153754$; $;730959$;0$; 
00620$;Pavel Duöek$;malÌ¯skÈ a natÏraËskÈ pr·ce$;Pacltova 506/3$;Liberec 25$;46312$;64055761$; $; $; $; $;048/5131850$; $; $; $;0603/770075$; $; $; $; $;730962$;0$; 
00621$;Valouöek Tom·ö$; $;SnÏhurËina 697/47$;Liberec 15$;46015$;70208930$; $; $; $; $;0606/506770$; $; $; $; $; $; $; $; $;730972$;0$; 
00622$;KKK-Autoservis$;Viktor KrejËÌ$;Sokolovsk· 730/8$;Liberec 13$;46013$;12778745$;CZ$;6304190926$; $; $; $; $; $; $; $; $; $; $; $;730972$;0$; 
00623$;DM drogerie$; $; $; $; $; $;CZ$; $; $; $; $; $; $; $; $; $; $; $; $;737669$;0$; 
00624$;Ing.arch.Radek Poul$; $;Smetanova 681$;Semily$;51301$;45597065$; $; $; $; $;0431/623710$; $; $; $; $; $; $; $; $;730979$;0$; 
00625$;Truhl·¯stvÌ Bohuslav Pecka$; $;Budovcova 972/15$;Liberec 1$;46001$;66661501$; $; $; $; $;0603/332676$; $; $; $; $; $; $; $; $;730979$;0$; 
00626$;KONTAKT-sluûby motorist˘m,sro$; $;Svobodova 2050$;Turnov$;51101$;45538514$;CZ$;45538514$; $; $;0436/323509$; $; $; $; $; $; $; $; $;730984$;0$; 
00627$;HappyHemp cz$; $; $;Praha$;13000$;03137589$;CZ$;03137589$; $; $; $; $; $; $; $; $; $; $;internetov˝ obchod$;737670$;0$; 
00628$;Kaufland »esk· republika v.o.s$;provozovna Liberec$;Pod ViöÚovkou 25$;PRAHA 4$; $;25110161$;CZ$;25110161$; $; $; $; $; $; $; $; $; $; $; $;730984$;0$; 
00629$;KALVEI, s.r.o.$; $;BeËovsk· 939$;Praha 10$;10400$;60720832$;CZ$;60720832$;Vor·Ëek$; $;222 513 735$;725 057 277$;lukas.voracek@kalvei.cz;eva.kocisova@kalvei.cz$;lukas.voracek@kalvei.cz$;minim·lnÏ 5000.-KË dopr zdarma$;sklad tel 739 029 345$;sleva zc 30-35% / sleva 48% na Fre-Pro$;www.davkovace.cz jmÈno>Pema Liberec heslo>Liberec4$; $;730985$;4$;uter˝
00630$;RECALL CORPORATED a.s.$; $; $; $; $;26433192$;CZ$;26433192$; $; $;049/5522487 f.89$; $; $; $;opalovacÌ mlÈka$; $; $; $; $;730985$;0$; 
00631$;Vakuov·nÌ s.r.o.$; $; $;L·znÏ BohdaneË$; $; $;CZ$; $; $; $; $; $;774 735 745$; $; $; $; $; $; $;730486$;0$; 
00632$;JUDr. Jarmila HolovË·kov·$;advok·tka$;Kl·öternÌ 15$;»esk· LÌpa$;47001$;66212081$; $; $; $; $;0425/521001$; $; $; $; $; $; $; $; $;730999$;0$; 
00633$;Vilimovsk˝ Josef$; $;Sokolsk· 1061$;Lomnice nad Popelkou$;51251$;10506179$;CZ$;6502232462$;Vilimovsk˝ Josef$; $;0431/672033 i fax$; $; $; $;0603/293544$; $; $; $; $;731006$;0$; 
00634$;RESTA Liberec, s.r.o.$; $;U Valchy 545$;Liberec$;46001$;25002449$;CZ$;25002449$; $; $;5107630$; $; $; $; $; $; $; $; $;731006$;0$; 
00635$;ALPHATEL PLUS, s.r.o.$; $;Michelsk· 18/12a$;Praha 4$;14000$;26185814$;CZ$;26185814$; $; $; $; $; $; $; $; $; $; $; $;731007$;0$; 
00636$;H&R plus Liberec, s.r.o.$; $;Americk· 70$;Liberec 10$;46010$;25019139$;CZ$;25019139$; $; $;0777/220174$; $; $; $; $; $; $; $; $;731011$;0$; 
00637$;VENGL Miroslav$;Truhl·¯stvÌ, obchodnÌ Ëinnost$;Rudolfovsk· 41$;Liberec 21$;46014$;14841380$;CZ$;6511281194$;Vengl Miroslav$; $;5134398 i fax$; $; $; $; $; $; $; $; $;731047$;0$; 
00638$;Cormen Byst¯ice$; $;N·draûnÌ 993$;Byst¯ice$;59301$;25547593$;CZ$;25547593$;JelÌnkov·$; $;566550961$;777 593 024$;objednavky@cormen.cz$;poradce.cechy@cormen.cz$;objedn·vky dovykr˝vajÌ           KuËera - 773 686 858$;Kat.1 a 2 -29%,kat.3,4 -15%   öef OZ Kosour 777 593 025$;barel 25l z·lohovan˝!!  oz Praha JelÌnkov· 777 593 024$;www.cormen.cz  obr·zky pan Slan˝ 605 216 677$;faktura Ë.20103441 zapl.po splat. let·k öpatnÈ ceny$;731055$;2$;ut obj/ Ëtvr z·
00639$;HYGOTREND, s.r.o.$; $;Kbel 200$;Ben·tky nad Jizerou$; $;62959093$;CZ$;62959093$;Princ$; $;326 312 249$;733 386 765$;objednavky@hygotrend.cz$;antonin.rozen@hygotrend.cz$;Star ZC-20% Princ 606 655 595$; $;Tork-na vöe sleva 20%$;MachnÌkov· 731 421 516 petra.machnikova@hygotrend.cz$;Sedl·Ëkov· 602304648,326329258-Stasiakov$;731060$;0$; 
00640$;PROFOD s.r.o.$; $; $;Praha$;10800$;27179397$;CZ$;27179397$; $; $;777 811 709$; $;obchod@profod.com$; $; $; $; $; $; $;737448$;0$; 
00641$;HMS-hygienickÈ systÈmy / Koder$; $;U prioru 1$;Praha 6$;16100$;49622714$;Cz$;49622714$; $; $;233 312 056$;220 611 282$;kulisova@koeder.cz$; $;BEZ DOPRAVY sleva Unger,Kiehl,Vermop 30%  , Kimberkli 25%$;Nutno odvÈst sami jinak sleva 15%  ved.Patlich 603 534 078$;www.koeder.cz                         7.3-16.00$;Kimber 6019 karton 440.-KË$; $;731061$;0$; 
00642$;IVK, spol. s r.o.$; $;MrötÌkova 2$;HustopeËe$;69301$;46903950$;CZ$;46903950$; $; $;0626/413 431$; $; $; $;mycÌ gel pro silnÏ zneËiötÏnÈ ruce - pro Diamo$;dohodnut· cena ZC-25% tj. 34,50 KË + poötovnÈ$;PoötovnÈ rozpouötÏt do cen.$; $; $;731068$;0$; 
00643$;LTM VrchlabÌ$; $;Ë.p. 117$;KunËice nad Labem$;54361$;45535388$;CZ$;45535388$; $; $;0438/431118$; $; $; $; $; $; $; $; $;731069$;0$; 
00644$;ing.arch. Petr Jakl$; $;El.Kr·snohorskÈ 953$;Liberec 14$;46001$;13918281$; $; $; $; $; $; $; $; $; $; $; $; $; $;731069$;0$; 
00645$;ULBRICH HYDROAUTOMATIK, s.r.o.$; $;Pflegrova 9$;Brno$;61300$;15528154$;CZ$;15528154$; $; $;323/673046 {47 fax}$; $;ulbrich@ulbrich.cz$; $;323/673290,prov.Centr.zÛna Kamenice 557,äti¯Ìn {u Prahy}$;Dod·v· pro Knoor Molykote logterm 2 plus 1kg cena 530-20%$;Doprava v cenÏ$;objedn·vky emailem mirka.mozdzen@ulbrich.cz$; $;731075$;0$; 
00646$;Plastimex ProstÏjov$; $;UrËick· 5106$;ProstÏjov$;79729$; $;CZ$;46966820$; $; $;0508/332625$; $; $; $; $; $; $; $; $;731084$;0$; 
00647$;Ji¯Ì Dostraöil$; $;Skeln· 41$;Jablonec nad Nisou$;46602$;12045217$;CZ$;6003201479$; $; $; $; $; $; $; $; $; $; $; $;731085$;0$; 
00648$;Caster CZ$; $;Vlna¯sk· 836$;Liberec$;46001$;25422944$;CZ$;25422944$; $; $; $; $; $; $; $; $; $; $; $;731085$;0$; 
00649$;Michal ZajÌc$; $;Dobrovice 150$;»·slav$;28601$;64179397$;CZ$;8002100832$;Michal ZajÌc$; $;0322/313766 i fax$; $; $; $; $; $; $; $; $;731091$;0$; 
00650$;MaT ELEKTRA$; $;Mileöovsk· 9$;Praha 3$;13000$;27542548$;Cz$;27542548$;Skribuckij Michal$; $;02/22724363$; $; $; $;sleva 20proc. vËetnÏ dopravy,fax 02/22728703$; $; $; $; $;731103$;0$; 
00651$;Myn·¯$; $; $; $; $; $; $; $; $; $; $; $; $; $;FAX 585224372 Olomouc$;mobil 608/711488$;Benzin Lakov˝ dohoda 24.9.02 14,-+10.84 spot¯.daÚ. 24.84$; $; $;731117$;0$; 
00652$;Skribuckij Michal$; $;Mileöovsk· 9$;Praha 3$;13000$;17005540$;CZ$;6709140713$; $; $;02/22724363 fax 03$; $; $; $; $; $; $; $; $;731118$;0$; 
00653$;J.I.M., s.r.o.$; $;Dr.M.Hor·kovÈ 559$;Liberec 6$;46006$;40232298$;CZ$;40232298$; $; $; $;482 313 217$; $; $; $; $;let·ky$; $; $;731118$;0$; 
00654$;Beneta s.r.o.$; $;Hodkovick· 59$;Liberec 23$;46313$;43222412$;CZ$;43222412$;p. Vondr·öek$; $;482772666,f482772667$;482 772667$; $; $; $; $; $; $; $;731124$;0$; 
00655$;Doktor Kladivo$;OSCOM TRADING$; $;Humpolec$; $;03336093$;CZ$;03336093$; $; $; $; $; $; $; $; $; $; $; $;737767$;0$; 
00656$;AGROCHEMIE, spol. s r.o.$; $;Neubuz Ë.p.156$;Sluöovice$;76315$;49432966$;CZ$;49432966$;ing.Roman Kristl$; $;577 981046 i fax$; $; $; $;mob.603510139,herbicid Roudup Klasik pro Diamo, 354,-/1l$;p¯i odb.vÌc neû20l,395,-/1l do 20l.Ceny bez dopravy.Objed.$;naöÌ sbÏrkou,cenu rozpustit$; $; $;731127$;0$; 
00657$;DivÌöek Chrudim$; $; $; $; $; $; $; $;DivÌöek Tom·ö$; $;(603417587)724253294$;495485282$;divisek@wo.cz$; $;TEL/FAX 495485892   /495485282      »ern˝ 602/194 282$;B¯ezen03 10.95+SPD/l            07/03 20.90/l$;9.96/lit + SPD 10.84    lak.benz. 20.80/- 30.9.03$;12/03-20.65$;P¯epoËet 0.78 kg/l$;731133$;0$; 
00658$;Radek Holubec$; $; $; $; $;61220370$;CZ$;7104083580$; $; $; $; $; $; $; $; $; $; $; $;731134$;0$; 
00659$;WIBAX, v.o.s.$; $;U Ml˝na 57$;Liberec 18$;46010$;62741331$;CZ$;62741331$; $; $; $; $; $; $; $; $; $; $; $;731138$;0$; 
00660$;PROHELP SERVICES, s.r.o.$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;731144$;0$; 
00661$;A B I  s.r.o.$; $;Pr˘bÏûn· 52$;Praha 10$;10000$;45278393$;CZ$;45278393$; $; $; $; $; $; $;PROVOZOVNA: PujmanovÈ 1221, Pha 4, tel.: 241731503-5$;e-mail:prodej@abi.cz$; $; $; $;731154$;0$; 
00662$;BT »esk· republika s.r.o.$; $;K Vypichu 1049$;Rudn·$;25219$;45308187$;CZ$;45308187$; $; $;311651153-4$; $; $; $; $; $; $; $; $;731154$;0$; 
00663$;ALZA$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;731165$;0$; 
00664$;Astra Stavebniny$; $; $; $; $; $; $; $; $; $;48/2427800$; $; $; $; $; $; $; $; $;731168$;0$; 
00665$;Marpool - Martin Hub$; $;Sl·dkova 27$;Ostrava 1$;70100$; $; $; $;p.Hub$; $;59/5693037$; $; $; $; $; $; $; $; $;731174$;0$; 
00666$;OSSZ$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;731175$;0$; 
00667$;LUTAS ing.LubomÌr VozÚ·k$; $;B.V·clavka 2920$;Fr˝dek-MÌstek$;73801$;11541903$;CZ$;6207301353$;VozÚ·k$; $;558/632005$; $; $; $;604 118798              Mozna dohoda Praha Wais 603/282637$;SalvÌk 500g Mimoradne Kniga Habartice 10.40 602/764825$;603829643-RusÚok/morava$; $; $;731190$;0$; 
00668$;Handl Roman$;fa Madel$;Varvaûov 174$;Telnice$;40338$;70586080$;CZ$;6305170509$; $; $;475223677$; $; $; $;Ëist.odp. pro Diamo$;mob.602166369$; $; $; $;731196$;0$; 
00669$;äimonek Miroslav$;obchodnÌ Ëinnost$;Post¯eln· 92$;JablonnÈ v Podj.$;47125$;13478851$;CZ$;421210128$;p.äimonek$; $;487754448,f487762569$; $; $; $;608540396 mob.$; $; $; $; $;731197$;0$; 
00670$;SIPRON LIBEREC, s.r.o.$;velkoobchod$;N·draûnÌ 167$;Chrastava$;46331$;64650197$;CZ$;64650197$; $; $;485 143030$;482 325 703$; $; $; $; $; $; $; $;731200$;0$; 
00671$;MANUTAN s.r.o.$; $; $;Ostrava$; $; $;CZ$;526119352$; $; $; $; $; $; $;e shop$; $; $; $; $;731200$;0$; 
